Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/blocks/latest,240,236,3,38.2137987568664,2.6827999390661716,2065.287899924442,165.75,4.051209197452155,3.983689044161286,3,3,3,4,5,7,210,2000,2100,2100,2100
GET,/api/v1/fees/6,104,104,3,22.788841349001114,2.6325001381337643,2021.1833000648767,154.0,1.7555239855626006,1.7555239855626006,3,3,3,3,5,7,8,11,2000,2000,2000
GET,/api/v1/fees/recommended,342,335,3,63.959211685656626,2.6379998307675123,2160.2996999863535,156.4561403508772,5.772973106369322,5.6548128381103,3,3,3,4,5,8,2000,2000,2200,2200,2200
GET,/api/v1/health,573,0,4,47.1335933681896,3.0743000097572803,2055.6359000038356,165.0,9.672261958917021,0.0,4,4,6,6,7,9,2000,2000,2100,2100,2100
GET,/api/v1/mempool,343,337,3,45.61924226867149,2.6228998322039843,2139.853000175208,167.1195335276968,5.789853144692039,5.688572914755735,3,3,3,4,5,7,2000,2000,2100,2100,2100
GET,/api/v1/mempool/info,128,123,3,130.48631953643053,2.685300074517727,2059.9348000250757,165.2890625,2.1606449053078163,2.0762447136942295,3,3,4,5,7,2000,2100,2100,2100,2100,2100
GET,/api/v1/mining,225,224,3,21.472226676220696,2.5905000511556864,2026.6503000166267,154.55555555555554,3.7980086226113956,3.781128584288678,3,3,3,4,5,7,8,9,2000,2000,2000
GET,/api/v1/network,255,248,3,52.173425881739924,2.605200046673417,2128.5419000778347,162.34509803921569,4.304409772292915,4.186249504033894,3,3,3,4,5,7,2000,2100,2100,2100,2100
,Aggregated,2210,1607,3,50.184648958923994,2.5905000511556864,2160.2996999863535,162.21764705882353,37.30488469320527,27.126221584606725,3,4,4,5,6,8,2000,2000,2100,2200,2200
